ticker,grade,name,value,growth,momntm,VGM,rating,price,dividend amt,dividend pcnt
ALSN,Allison Transmission Holdings Inc. (ALSN),B Buy,D,D,F,F,3-Hold,$35.48,$0.60,1.69%
KMPR,Kemper Corporation (KMPR),C+ Hold,B,D,D,C,2-Buy,$43.75,$0.96,2.19%
NPTN,NeoPhotonics Corporation (NPTN),C- Hold,B,B,B,A,5-SS,$11.24,$0.00,0.00%
CAT,Caterpillar Inc. (CAT),C Hold,C,B,C,B,3-Hold,$93.28,$3.08,3.30%
PEG,Public Service Enterprise Group Incorporated (PEG),A- Buy,B,C,C,B,3-Hold,$43.71,$1.64,3.75%
CSC,Computer Sciences Corporation (CSC),C+ Hold,B,A,C,A,3-Hold,$69.95,$0.56,0.80%
WPX,WPX Energy Inc. (WPX),D+ Sell,D,D,A,D,2-Buy,$14.08,$0.00,0.00%
CORR,CorEnergy Infrastructure Trust Inc. (CORR),B Buy,B,B,B,B,3-Hold,$35.74,$3.00,8.39%
WMT,Wal-Mart Stores Inc. (WMT),C+ Hold,A,B,C,A,4-Sell,$66.50,$2.00,3.01%
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION (SAIC),B+ Buy,B,A,C,A,2-Buy,$82.70,$1.24,1.50%
MGM,MGM Resorts International (MGM),B Buy,C,B,B,B,2-Buy,$28.86,$0.00,0.00%
WDR,Waddell & Reed Financial Inc. (WDR),C Hold,B,D,F,D,3-Hold,$17.90,$1.84,10.28%
SM,SM Energy Company (SM),D Sell,C,D,A,C,3-Hold,$29.81,$0.10,0.34%
LXP,Lexington Realty Trust (LXP),C+ Hold,C,D,C,D,3-Hold,$10.86,$0.70,6.45%
MODN,Model N Inc. (MODN),D Sell,F,D,D,F,3-Hold,$9.30,$0.00,0.00%
HCA,HCA Holdings Inc. (HCA),B- Buy,A,A,B,A,2-Buy,$83.80,$0.00,0.00%
KIM,Kimco Realty Corporation (KIM),B- Buy,D,D,D,F,4-Sell,$24.85,$1.08,4.35%
MAIN,Main Street Capital Corporation (MAIN),B Buy,F,F,C,F,2-Buy,$36.49,$2.22,6.08%
BCRH,Blue Capital Reinsurance Holdings Ltd. (BCRH),A- Buy,B,B,A,A,2-Buy,$18.80,$1.20,6.38%
SLF,Sun Life Financial Inc. (SLF),A+ Buy,B,F,A,C,4-Sell,$38.82,$1.25,3.23%
NWE,NorthWestern Corporation (NWE),A- Buy,C,B,C,B,3-Hold,$56.92,$2.00,3.51%
MMP,Magellan Midstream Partners L.P. (MMP),B+ Buy,D,D,A,C,3-Hold,$78.63,$3.42,4.35%
NR,Newpark Resources Inc. (NR),D Sell,C,D,C,D,2-Buy,$7.70,$0.00,0.00%
EC,Ecopetrol S.A. (EC),D+ Sell,A,B,D,A,3-Hold,$9.67,$0.00,0.00%
JOE,St. Joe Company (The) (JOE),C Hold,F,F,C,F,3-Hold,$17.25,$0.00,0.00%
MCD,McDonald's Corporation (MCD),C+ Hold,D,B,C,C,3-Hold,$124.24,$3.76,3.03%
PEP,Pepsico Inc. (PEP),A Buy,C,B,D,C,4-Sell,$105.11,$3.01,2.86%
PTR,PetroChina Company Limited (PTR),C Hold,A,D,A,B,3-Hold,$78.12,$0.59,0.76%
JWN,Nordstrom Inc. (JWN),C Hold,A,A,F,A,3-Hold,$43.90,$1.48,3.37%
BEN,Franklin Resources Inc. (BEN),C Hold,B,B,A,A,3-Hold,$40.31,$0.80,1.98%
ETR,Entergy Corporation (ETR),B Buy,B,C,F,C,3-Hold,$71.82,$3.48,4.85%
LPX,Louisiana-Pacific Corporation (LPX),B Buy,B,A,D,A,2-Buy,$19.89,$0.00,0.00%
TMH,Team Health Holdings Inc. (TMH),C Hold,B,A,C,A,4-Sell,$43.50,$0.00,0.00%
MAA,Mid-America Apartment Communities Inc. (MAA),B Buy,D,D,F,D,4-Sell,$97.98,$3.48,3.55%
BFS,Saul Centers Inc. (BFS),C+ Hold,D,D,F,F,3-Hold,$63.70,$2.04,3.20%
DHT,DHT Holdings Inc. (DHT),C Hold,B,C,C,B,3-Hold,$4.91,$0.08,1.63%
BG,Bunge Limited (BG),B Buy,A,B,C,A,4-Sell,$69.63,$1.68,2.41%
NORD,Nord Anglia Education Inc. (NORD),D Sell,D,D,C,F,2-Buy,$22.60,$0.00,0.00%
MET,MetLife Inc. (MET),B- Buy,A,F,B,C,4-Sell,$51.77,$1.60,3.09%
PEB,Pebblebrook Hotel Trust (PEB),C+ Hold,B,C,A,A,3-Hold,$29.57,$1.52,5.14%
KSS,Kohl's Corporation (KSS),C+ Hold,A,C,F,B,5-SS,$40.17,$2.00,4.98%
DDS,Dillard's Inc. (DDS),C Hold,A,F,D,C,4-Sell,$57.19,$0.28,0.49%
KS,KapStone Paper and Packaging Corporation (KS),C+ Hold,B,C,D,B,3-Hold,$24.72,$0.40,1.62%
B,Barnes Group Inc. (B),B+ Buy,C,A,A,A,4-Sell,$47.83,$0.52,1.09%
WWW,Wolverine World Wide Inc. (WWW),B- Buy,A,D,A,B,4-Sell,$21.23,$0.24,1.13%
AM,Antero Midstream Partners LP (AM),C+ Hold,C,B,C,C,3-Hold,$33.76,$1.12,3.32%
KAR,KAR Auction Services Inc (KAR),B+ Buy,B,D,D,C,3-Hold,$45.19,$1.28,2.83%
JLL,Jones Lang LaSalle Incorporated (JLL),C+ Hold,B,F,F,D,4-Sell,$106.26,$0.66,0.62%
NSP,Insperity Inc. (NSP),B Buy,B,A,C,A,3-Hold,$72.45,$1.00,1.38%
URI,United Rentals Inc. (URI),B Buy,A,B,A,A,3-Hold,$128.65,$0.00,0.00%
FL,Foot Locker Inc. (FL),A Buy,A,D,D,B,2-Buy,$69.54,$1.10,1.58%
CB,D/B/A Chubb Limited New (CB),A Buy,C,D,A,C,3-Hold,$131.28,$2.76,2.10%
RJF,Raymond James Financial Inc. (RJF),B+ Buy,D,F,D,F,1-SB,$76.35,$0.88,1.15%
AN,AutoNation Inc. (AN),B- Buy,A,B,A,A,3-Hold,$49.77,$0.00,0.00%
AMC,AMC Entertainment Holdings Inc. (AMC),B Buy,B,C,D,C,3-Hold,$32.90,$0.80,2.43%
WBC,Wabco Holdings Inc. (WBC),B Buy,C,B,F,C,3-Hold,$114.55,$0.00,0.00%
SPR,Spirit Aerosystems Holdings Inc. (SPR),B Buy,A,B,C,A,3-Hold,$56.05,$0.40,0.71%
NTT,Nippon Telegraph and Telephone Corporation (NTT),B Buy,A,A,F,A,3-Hold,$43.55,$0.98,2.26%
FUL,H. B. Fuller Company (FUL),B- Buy,C,A,C,B,5-SS,$50.01,$0.56,1.12%
TLYS,Tilly's Inc. (TLYS),C+ Hold,B,B,C,A,3-Hold,$13.19,$0.00,0.00%
MWA,MUELLER WATER PRODUCTS (MWA),B+ Buy,D,B,D,C,4-Sell,$13.70,$0.12,0.88%
CLX,Clorox Company (The) (CLX),B Buy,D,A,D,C,3-Hold,$125.14,$3.20,2.56%
MOV,Movado Group Inc. (MOV),B- Buy,B,F,A,C,3-Hold,$26.05,$0.52,2.00%
LRN,K12 Inc (LRN),C+ Hold,A,A,B,A,3-Hold,$18.71,$0.00,0.00%
K,Kellogg Company (K),B Buy,C,D,C,D,3-Hold,$73.36,$2.08,2.84%
BSAC,Banco Santander Chile (BSAC),C Hold,D,F,B,F,3-Hold,$21.85,$0.86,3.94%
SKM,SK Telecom Co. Ltd. (SKM),B- Buy,A,B,C,A,2-Buy,$21.74,$0.06,0.27%
CBZ,CBIZ Inc. (CBZ),A- Buy,B,C,A,B,3-Hold,$12.95,$0.00,0.00%
DEI,Douglas Emmett Inc. (DEI),C+ Hold,D,C,D,F,3-Hold,$37.95,$0.92,2.42%
AKR,Acadia Realty Trust (AKR),B Buy,F,F,D,F,4-Sell,$32.15,$1.04,3.23%
KATE,Kate Spade & Company (KATE),C Hold,C,C,D,C,4-Sell,$18.36,$0.00,0.00%
NYLD,NRG Yield Inc. (NYLD),D Sell,C,A,C,B,3-Hold,$17.25,$1.00,5.80%
HMC,Honda Motor Company Ltd. (HMC),B- Buy,A,C,F,B,1-SB,$31.06,$0.68,2.18%
AAN,Aaron's  Inc. (AAN),B Buy,A,A,B,A,3-Hold,$29.93,$0.11,0.37%
CCP,Care Capital Properties Inc. (CCP),C- Hold,B,D,D,C,3-Hold,$25.17,$2.28,9.06%
MCRN,Milacron Holdings Corp. (MCRN),D+ Sell,B,F,C,C,2-Buy,$17.20,$0.00,0.00%
PF,Pinnacle Foods Inc. (PF),A Buy,D,D,B,D,2-Buy,$54.03,$1.14,2.11%
CCI,Crown Castle International Corporation (CCI),B- Buy,F,D,D,F,3-Hold,$88.74,$3.80,4.28%
CABO,Cable One Inc. (CABO),C Hold,F,A,F,D,5-SS,$645.00,$6.00,0.93%
TMST,Timken Steel Corporation (TMST),D Sell,C,C,D,C,2-Buy,$17.02,$0.00,0.00%
CAG,ConAgra Foods Inc. (CAG),B+ Buy,C,C,D,C,2-Buy,$39.37,$0.80,2.03%
